Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
80.7,141869859,16,8866866.2,180335.0,100537,139176416,34749267.2,cudaMalloc
7.7,13478408,20,673920.4,463967.0,59330,1343519,494552.9,cudaDeviceSynchronize
6.2,10960158,16,685009.9,601667.5,229737,1770988,454169.9,cudaMemcpy
2.3,3964054,16,247753.4,259151.0,148431,360445,61043.9,cudaFree
1.4,2451937,20,122596.9,48370.0,25968,1174120,253963.5,cudaLaunchKernel
0.8,1475363,56,26345.8,21775.0,7063,103642,18798.8,cudaEventRecord
0.5,967016,1,967016.0,967016.0,967016,967016,0.0,cuLibraryLoadData
0.2,357285,28,12760.2,2991.0,1232,81732,24657.8,cudaEventSynchronize
0.1,171588,56,3064.1,1963.5,601,10961,2683.5,cudaEventCreate
0.0,66512,56,1187.7,916.5,370,3707,806.0,cudaEventDestroy
0.0,21932,20,1096.6,816.5,461,3176,663.6,cuKernelGetName
0.0,18274,1,18274.0,18274.0,18274,18274,0.0,cuModuleGetLoadingMode
0.0,13184,1,13184.0,13184.0,13184,13184,0.0,cuCtxSynchronize
0.0,7563,5,1512.6,1723.0,551,1953,554.4,cuLibraryGetKernel
0.0,932,1,932.0,932.0,932,932,0.0,cuDeviceGetLuid
