Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.8,172817272,12,14401439.3,234130.0,63899,170563858,49178548.4,cudaMalloc
8.9,19536068,80,244200.9,11822.0,7053,18311074,2045532.2,cudaEventRecord
5.0,10874742,8,1359342.8,1344509.0,1006148,1993376,335622.4,cudaMemcpy
2.5,5533905,8,691738.1,484525.0,17983,2284151,818480.2,cudaMemcpyToSymbol
2.2,4800016,24,200000.7,191335.5,21390,348437,113600.2,cudaDeviceSynchronize
1.6,3606808,12,300567.3,300101.5,149878,483058,89880.7,cudaFree
0.6,1310964,24,54623.5,39659.0,16931,222253,46808.5,cudaLaunchKernel
0.1,208943,80,2611.8,1263.0,451,18925,3305.1,cudaEventCreate
0.1,204035,24,8501.5,787.0,451,183116,37195.0,cuKernelGetName
0.1,200913,40,5022.8,2119.5,781,36758,8254.4,cudaEventSynchronize
0.0,61149,80,764.4,586.0,341,2395,441.5,cudaEventDestroy
0.0,18965,1,18965.0,18965.0,18965,18965,0.0,cuCtxSynchronize
0.0,17964,1,17964.0,17964.0,17964,17964,0.0,cuModuleGetLoadingMode
0.0,13715,6,2285.8,1748.0,1293,4698,1287.6,cuLibraryGetKernel
0.0,1082,1,1082.0,1082.0,1082,1082,0.0,cuDeviceGetLuid
