Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
78.7,171981971,15,11465464.7,206363.0,61153,169534834,43728627.0,cudaMalloc
7.9,17287802,16,1080487.6,839173.0,538911,2359501,648624.5,cudaMemcpy
4.5,9837306,48,204943.9,203292.5,18224,373404,112062.3,cudaDeviceSynchronize
1.8,3981748,15,265449.9,214989.0,138638,469256,122102.5,cudaFree
1.6,3567366,16,222960.4,33297.0,15809,3029149,748473.0,cudaMemcpyToSymbol
1.4,2996358,160,18727.2,9623.0,5780,419308,36577.2,cudaEventRecord
1.3,2896358,2,1448179.0,1448179.0,1282837,1613521,233828.9,cudaHostAlloc
1.1,2375872,2,1187936.0,1187936.0,1054563,1321309,188617.9,cudaFreeHost
1.1,2352632,48,49013.2,27786.0,13515,532394,75798.4,cudaLaunchKernel
0.2,491186,80,6139.8,1808.5,752,68117,12240.7,cudaEventSynchronize
0.2,372257,160,2326.6,1152.0,471,25056,3434.9,cudaEventCreate
0.1,260584,48,5428.8,706.5,371,223865,32201.1,cuKernelGetName
0.1,137860,160,861.6,536.0,360,6842,832.2,cudaEventDestroy
0.0,20398,1,20398.0,20398.0,20398,20398,0.0,cuModuleGetLoadingMode
0.0,19797,1,19797.0,19797.0,19797,19797,0.0,cuCtxSynchronize
0.0,12314,6,2052.3,1929.0,1573,2655,476.0,cuLibraryGetKernel
0.0,831,1,831.0,831.0,831,831,0.0,cuDeviceGetLuid
